abaixar, Lower
locar, Rent
locomover, Around
madrugar, Early
magistrar, I
magnetizar, Magnetize
magnificar, And
mandingar, Mandingar
manufacturar, Manufacture
maravilhar, Wow
mariscar, Clamming
massificar, Murthy
maturar, Grow up
maxidesvalorizar, Maxidesvalorizar
maçar, Case
mecanizar, Mechanizing
mediatizar, Hand
mendicar, Mendicar
mentalizar, Realize
mercantilizar, Commoditise
merendar, Tea
metaforizar, Bluff
mexicanizar, Mexicanizar
militarizar, Militarizing
miniaturizar, Miniature
miscigenar, Mongrelizing
modelizar, Modelled
mofar, Sit
monetizar, Monetize
monitorizar, Monitor
monotorizar, Airbase.
moralizar, Moralizes
motorizar, Motorizar
multiplexar, Multiplex
mundializar, Globalise
municiar, Bullets
municipalizar, Timescale
munir, Possession
musealizar, Musealizar
naturalizar, I
necrosar, Necrose
noivar, Fiancés
nominar, Don
normalizar, Normalize
normatizar, Standardize
objetar, Louis
objetivar, Target
obsessar, Obsessar
obstinar, I
obturar, Anraise
ocidentalizar, Westernizes
ofertar, I
operacionalizar, Iine
ossificar, MAUREEN :
ovular, Ovular
ozonizar, Ozonizar
pacientar, Pacientar
paletar, Paletar
panificar, Panificar
parlamentarizar, Parliamentarisation
partidarizar, Partidarizar
pastorear, You
pauperizar, Pauperizar
pedonizar, Pedonizar
performar, Issues
periferizar, Periferizar
periodizar, Periodizar
pernoitar, Overnight
peroxidar, Peroxidar
pessoalizar, Pessoalizar
pichar, Graffiti
plastificar, Plastimise
polimerizar, Polymerizing
polinizar, Poiiinate
politicar, Politicsat
pontapear, Kick
porrar, Smudging
possibilitar, Enable
precarizar, Worsening
predar, Preying
pressurizar, Dj
prestigiar, Sid
principiar, Begin
problematizar, ,
profissionalizar, Pro
proletarizar, Proletarizar
propalar, Float
propelir, Propelir
propugnar, Support
prorrogar, Extend
prosar, Prosar
prospectar, Latin
protagonizar, Star
pré-qualificar, Pré-qualificar
quedar, Down
quitar, Square
quotizar, Voluntary
racionar, Ration
radicalizar, To
radiopasteurizar, Radiopasteurizar
rajar, Rajar
rapar, Shave
rarear, Receding
rastrear, Track
reabsorver, Reduce
reactar, Reactar
reactualizar, Update
reafectar, Reallocation
realimentar, Reingest
realojar, To
reapreciar, Rethink
reaproximar, Closer
rearborizar, Rearborizar
rearmar, Rearm
rebater, Hit
recalcar, Inside
recapitalizar, Recapitalises
recatar, Recatar
recensear, An
receptar, Fence
recoletar, Re
recolocar, Replace
recolonizar, Recolonize
recombinar, Re-mix
recompor, Together
reconduzir, Redrive
reconfigurar, Reset
recontextualizar, Recontextualize
recriminar, I
recristalizar, Recrystallising
redemocratizar, Redemocratizar
redesenvolver, Reauthor
redinamizar, Overhaul
reeducar, Retape
reelaborar, Reworking
reelevar, Reelevar
reembarcar, ?
reequilibrar, Re-equilibrated
reescalonar, That
reflorestar, Wood
refluir, ,
reformatar, Reformat
refratar, Refract
refregar, Refregar
refundar, Peru
regionalizar, Regionalise
regorjear, Regorjear
regozijar, Welcome
reinserir, Reinsert
reinterpretar, Spin
reinvestir, Reinvest
reinvidicar, I
reinvindicar, Claim
relampejar, Flash
relocalizar, Relocate
relocar, Relocate
remasterizar, Re-master
rematar, Kicker
remexer, Dig
remonetizar, Remonetizar
renacionalizar, Renationalizing
renascer, Reborn
renaturalizar, Renaturalizar
rendibilizar, Rendibilizar
rentabilizar, Profitable
reoperar, Reoperar
repagar, Repay
reprivatizar, Reprivatize
reputar, I
requalificar, Re-Qualify
requebrar, Sway
resenhar, ,
resentir, Resent
resguardar, Safe
respaldar, Back
respingar, Splash
responsabilizar, Responsibility
ressalvar, I
ressegurar, Reassure
ressocializar, Rehabilitate
retaliar, Retaliate
retorquir, Round
reurbanizar, Reurbanizar
revidar, Fight
revitalizar, Revive
revoar, Flitting
rifar, Raffle
ritualizar, Ritualizing
robotizar, Lobotomize
rumar, Head
sacolejar, Tonking
sacralizar, Sanctify
salinizar, Salinizar
sanear, Tidy up
sapatear, Tap
saracotear, That
seccionar, Gangrened
secretar, Surge
secretariar, Is
secularizar, Secularizing
secundarizar, Second
securitizar, Securitizar
sedar, Sedate
sedentarizar, Sedentarizar
sedimentar, Sedimentary
semaforizar, Semaforizar
semiprofissionalizar, Semiprofissionalizar
seriar, Seriar
sindicalizar, Syndicate
sistematizar, Systemize
sobrar, Left
sobreconsumir, Sobreconsumir
sobredeterminar, Sobredeterminar
sobreinvestir, Sobreinvestir
sobrepagar, Sobrepagar
sobrevalorizar, Overestimate
sociabilizar, Definitely
socializar, Socialise
solfejar, I
sonegar, Dodge
sonorizar, Sync
sortir, Treatment could start
sponsorizar, Sponsorizar
standardizar, Standardizar
stressar, Stress
subalternizar, Relegates
subelevar, Subelevar
subjetivar, Subjetivar
subnotificar, Subnotificar
subproduzir, Subproduzir
subutilizar, Underutilize
suicidar, Suicide
superlotar, Overflowing
superpor, Superimpose
superqualificar, Superqualificar
sustar, I
tacar, I
talonar, Talonar
teatralizar, Teatralizar
teimar, Persist
telecomandar, Telecomandar
telegramar, Telegramar
tematizar, Focusing
temporizar, Time
terciarizar, Terciarizar
territorializar, Regionalizing
tintar, Tintar
toar, Trill
tonsurar, Tonsurar
toucar, Toucar
traccionar, Tow
transacionar, Transact
transfigurar, Transfigure
transfuse, Transfuse
transitar, Transit
translocar, Translocate
transnacionalizar, Transnacionalizar
transumar, Transumar
traumatizar, Traumatise
trejeitar, Trejeitar
tremelicar, Twitch
treplicar, Treplicar
trespassar, Trespass
trivializar, Trivialize
trombar, Bump
trovar, Trovar
troçar, Fun
tumultuar, Disruption
uniformizar, Uniform
universalizar, Universal
urvizar, Urvizar
valorar, Value
vampirizar, Vamp
vascularizar, Vascularizar
vasodilatar, Vasodilatar
vedar, Recaulk
veicular, Vehicular
verear, Verear
verticalizar, Verticalizar
viabilizar, Possible
viger, Viger
vindimar, Vindimar
vulgarizar, Vulgarize
wikificar, Wikificar
